task,algo,accuracy,macro_f1,fit_seconds,features
category68,LinearSVC,0.8809,0.7696,1.2,full
category68,LogisticRegression,0.865,0.7607,4.2,full
category68,SGD-hinge,0.865,0.7345,1.5,full
category68,MultinomialNB,0.7967,0.4693,0.1,full
category68,ComplementNB,0.8483,0.6652,0.1,full
category68,RandomForest,0.7796,0.5609,54.3,SVD-300
category68,KNN,0.7192,0.4687,4.1,SVD-300
priority,LinearSVC,0.7444,0.6724,19.4,full
priority,LogisticRegression,0.7226,0.6622,310.6,full
priority,SGD-hinge,0.7449,0.6746,10.2,full
priority,MultinomialNB,0.7371,0.6026,2.1,full
priority,ComplementNB,0.7193,0.6334,2.5,full
priority,RandomForest,0.7249,0.6028,3451.3,SVD-300
priority,KNN,0.6954,0.5388,146.7,SVD-300
disease,LinearSVC,0.0412,0.0392,2.6,full
disease,LogisticRegression,0.0406,0.0389,0.7,full
disease,SGD-hinge,0.0316,0.0228,5.7,full
disease,MultinomialNB,0.0378,0.0343,0.2,full
disease,ComplementNB,0.0376,0.0349,0.2,full
disease,RandomForest,0.0342,0.0342,79.6,full
disease,KNN,0.0334,0.0331,7.2,full
